source_row_id,state,region,source_section,award_category,recipient_or_awardee,provider_equipment_or_role,county_or_service_area,award_stage,source_document,source_posting_window,official_source_url,refresh_date
IA-011,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,"Best and Brightest Provider — Community Health Care, Inc.",Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-012,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,"Best and Brightest Provider — Community Health Centers of Southeastern Iowa, Inc.",Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-013,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Community Memorial Hospital of Missouri Valley,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-014,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Compass Memorial Healthcare,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-015,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Crawford County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-016,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Davis County Hospital and Clinics,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-017,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Decatur County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-018,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Delaware County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-019,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Floyd County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-020,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Floyd Valley Healthcare,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-021,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — George C. Grape Community Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-022,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Good Neighbor Society,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-023,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Greater Regional Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-024,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Guthrie County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-025,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Guttenberg Municipal Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-026,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Hancock County Health System,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-027,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Hegg Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-028,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Horn Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-029,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Humboldt County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-030,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Infinity Health,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-031,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Iowa Family Counseling LLC,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-032,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Iowa Specialty Hospital Clarion,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-033,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Iowa Specialty Hospital Webster City,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-034,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Keokuk Area Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-035,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Kossuth County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-036,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Lucas County Health Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-037,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Madison County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-038,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Mahaska County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-039,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Manning Regional Healthcare Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-040,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — MercyOne Centerville Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-041,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — MercyOne Clinton Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-042,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — MercyOne Elkader Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-043,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — MercyOne Genesis DeWitt Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-044,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — MercyOne Newton Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-045,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Mitchell County Regional Health Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-046,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Monroe County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-047,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Morning Glory Birth & Wellness,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-048,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Osceola Community Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-049,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Ottumwa Health Group LLC,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-050,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Palmer Lutheran Health Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-051,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Palo Alto County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-052,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Pella Regional Health Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-053,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,"Best and Brightest Provider — Priority Health Northwest, PLLC",Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-054,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — R & R Counseling Solutions,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-055,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Regional Health Services of Howard County,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-056,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Ringgold County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-057,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Sanford Health,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-058,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Sanford Health Network,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
