last_checked,state,region,tracker_status,opportunity_types,current_signal,posted_or_open,close_or_next_date,solutionz_fit,primary_official_source,all_sources,change_in_this_refresh
2026-05-15,Maryland,Mid-Atlantic,active,RFA; RFP; Grant,"Maryland now has live RHTP pathways in addition to the April 17 forecast materials: a Pillar 2 Transformation RFA , a Garrett County revenue-cycle/billing TA RFP , and rural food/local procurement grant lanes.",Pillar 2 RFA + revenue-cycle RFP + food lanes,Package-specific; monitor MDH/eMMA and local lead pages,"Telehealth/HIE connectivity, CRISP alignment, revenue cycle workflow, mobile health, food-as-medicine infrastructure, analytics, and implementation support.",https://procurement.maryland.gov,Narrative: https://www.documentcloud.org/documents/26471568-maryland-narrative/ | Procurement: https://procurement.maryland.gov | State RHTP: https://health.maryland.gov/pophealth/Pages/Rural-Health-Transformation-Program.aspx | Pillar 2 RFA: https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/MD-RHTP-Pillar-2-Transformation-RFA.pdf | Garrett RFP: https://garretthealth.org/request-for-proposals-rural-health-transformation-program-rhtp-revenue-cycle-management-and-billing-technical-assistance-for-rural-local-health-departments-and-area-agencies-on-aging/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Massachusetts,Northeast,forecasted,Grant; Funding,"Massachusetts continues to host an RHTP program page and rural health award information, but no current competitive subaward package was verified in this refresh.",Program page active,TBD by state,"Monitor EOHHS/State Office of Rural Health for rural provider, workforce, technology, and access-to-care opportunities.",https://www.mass.gov/rural-health-transformation-program,Massachusetts RHTP page: https://www.mass.gov/rural-health-transformation-program | About MA RHTP: https://www.mass.gov/info-details/about-the-rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Michigan,Northeast,forecasted,RFP; LOI,"Michigan continues to indicate grant funding opportunity activity is forthcoming, with budget narrative/LOI planning materials previously posted.",GFO/LOI planning materials,TBD by MDHHS,"Monitor for hospital, EMS, behavioral health, workforce, and technology implementation lanes once GFOs release.",https://www.michigan.gov/mdhhs/inside-mdhhs/budgetfinance/rural-health-transformation-program,Michigan RHTP page: https://www.michigan.gov/mdhhs/inside-mdhhs/budgetfinance/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Minnesota,Northeast,active,RFP; NOFO; Grant; Quick Call; Direct Allocation,Minnesota remains highly active: direct-allocation applications extended to May 26; HIT TA RFP due May 22; HIT performance-measurement Quick Call due May 26; Project ECHO due June 3; Child/Adolescent Mental Health due June 15; Workforce Retention due June 22; Statewide Tele-buprenorphine Access Line due June 29.,"Multiple grants, RFPs, direct allocations, and Quick Call open",May 22; May 26; Jun. 3; Jun. 15; Jun. 22; Jun. 29,"Provider tech planning, HIT advisory, performance measurement, ECHO education, tele-buprenorphine access, child/adolescent mental health, workforce retention, telehealth/RPM, cybersecurity, AV/collaboration, reporting, and implementation support.",https://www.health.state.mn.us/facilities/ruralhealth/ruraltrans/grants.html,Minnesota RHTP funding: https://www.health.state.mn.us/facilities/ruralhealth/ruraltrans/grants.html | Minnesota RHTP program: https://www.health.state.mn.us/facilities/ruralhealth/ruraltrans/index.html | MN SWIFT supplier portal: https://guest.supplier.systems.state.mn.us/,Updated v15: confirmed expanded active opportunity list and deadlines.
2026-05-15,Mississippi,Southeast,forecasted,Event,"Mississippi launched a dedicated RHTP Office and official website on April 29, moving from planning into implementation; no funding package is posted yet.",New office / website launched,Funding timing TBD,"Early relationship-building, rural provider mapping, implementation planning, telehealth, mobile care, data, and cyber readiness.",https://www.dfa.ms.gov/supplier-self-service,Narrative: https://www.documentcloud.org/documents/26460184-mississippi-narrative/ | Procurement: https://www.dfa.ms.gov/supplier-self-service | State RHTP: https://medicaid.ms.gov/rural-health-transformation-program/ | Governor announcement: https://governorreeves.ms.gov/mississippi-launches-rural-health-transformation-program-office-and-website/ | Mississippi RHTP: https://www.mississippirhtp.com/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Missouri,Northeast,active,RFI; RFP; Event,"Missouri posted active procurement activity: Ambient AI RFI DSS 0000000005SL is open, with webinar/Hub Anchor activity continuing in May and June.",Ambient AI RFI now open,"RFI ends Jun. 1, 2026",Immediate cyber/AI/workflow sales signal; monitor June Hub Anchor applications and social-care platform demos for partner roles.,https://health.mo.gov/about/rhtp/,Missouri RHTP page: https://health.mo.gov/about/rhtp/ | MO procurement portal: https://missouribuys.mo.gov/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Montana,West,active,RFP; Vendor; CoE,"Montana remains active with RHTP Requests for Proposals, vendor directory, and proposals accepted for two Rural Health Center of Excellence components. Additional provider-facing opportunities are expected later.",CoE RFPs / vendor resources active,Package-specific; monitor Montana bids and RHTP page,"Analytics, implementation support, PMO, digital strategy, evaluation, facility sustainability roadmaps, provider engagement, and transformation operations.",https://dphhs.mt.gov/RuralHealthTransformationProgram/,Montana RHTP page: https://dphhs.mt.gov/RuralHealthTransformationProgram/ | Procurement: https://spb.mt.gov/eMACS-Resources,Updated v15: refreshed CoE/vendor language.
2026-05-15,Nebraska,Northeast,active,RFA; Grant,Nebraska has an active RHTP Initiative 5.3 RFA with a posted Q&A session and late-summer application timeline.,Initiative 5.3 RFA posted,"Applications due Aug. 31, 2026","Good fit for implementation, infrastructure, rural access, technology, and partnership projects with longer runway.",https://dhhs.ne.gov/Pages/Rural-Health-Transformation-Program.aspx,Nebraska RHTP Initiative 5.3 RFA: https://dhhs.ne.gov/Pages/Rural-Health-Transformation-Program.aspx,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Nevada,West,active,RFA; Grant,Nevada’s Rural & Tribal Health Services RFA remains active while the first Flex Fund round has closed.,Rural & Tribal RFA active,"Due May 29, 2026","Focus on rural/tribal provider needs, mobile care, telehealth, and access-expansion equipment.",https://dhhs.nv.gov/Programs/RuralHealthTransformationProgram/,Nevada RHTP page: https://dhhs.nv.gov/Programs/RuralHealthTransformationProgram/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,New Hampshire,Northeast,monitor,RFP,"No new verified public package was posted in this refresh. Baseline plan still emphasizes REACT, simulation labs, AI tools, and RPM.",State page active,TBD by state,"Telehealth specialty access, RPM, simulation, and regional partnership support.",https://www.dhhs.nh.gov/doing-business-dhhs/contracts-procurement-opportunities/open-requests-proposals,Narrative: https://www.documentcloud.org/documents/26460565-new-hampshire-narrative/ | Procurement: https://www.dhhs.nh.gov/doing-business-dhhs/contracts-procurement-opportunities/open-requests-proposals | State RHTP: https://www.dhhs.nh.gov/programs-services/medicaid/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,New Jersey,Northeast,recently closed,RFA; Grant,New Jersey’s April RFA activity is now past the posted April 27 deadline; monitor notice directory for awards or next RHTP rounds.,April RFA posted,Closed Apr. 27; monitor awards,"Continue tracking rural community health worker, doula integration, and maternal/community health implementation signals.",https://www.nj.gov/health/grants/,NJ Notices of Grant Opportunity: https://www.nj.gov/health/grants/ | NJ RHTP page: https://www.nj.gov/health/ruralhealth/rhtp/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,New Mexico,West,active,RFP; Procurement; Webinar,"New Mexico lists Funding & Procurement Opportunities directly on the RHT Program page: ASO RFP due May 28, CRHSI RFP due June 4, and upcoming Data Hub / Healthy Horizons / Rooted in New Mexico / Innovation Fund releases expected mid- to late-May or early June.",ASO and CRHSI RFPs active,ASO due May 28; CRHSI due Jun. 4; more releases expected late May/early Jun.,"Administrative support, contract management/reporting, data hub, specialty/maternal/behavioral/chronic care access, workforce development, rural innovation, provider resilience, telehealth, cybersecurity, and analytics.",https://www.hca.nm.gov/rural-health-transformation-program/,New Mexico RHTP page: https://www.hca.nm.gov/rural-health-transformation-program/ | Open RFPs: https://www.hca.nm.gov/about_the_department/open-rfps/,Updated v15: replaced generic RFP/RFI language with ASO/CRHSI and upcoming releases.
2026-05-15,New York,Northeast,forecasted,,"No new verified public package was posted in this refresh. Baseline plan still emphasizes community-care hubs, technology-enhanced primary care, and cybersecurity enhancements.",State page active,TBD by state,"Telehealth, eConsults, cybersecurity, integrated primary care, and workforce pipelines.",https://www.health.ny.gov/funding/,Narrative: https://www.documentcloud.org/documents/26496342-new-york-narrative/ | Procurement: https://www.health.ny.gov/funding/ | State RHTP: https://health.ny.gov/facilities/transforming_rural_healthcare/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,North Carolina,Southeast,active,Award; RFA; Grant,"North Carolina selected NC ROOTS Hub Leads on May 1, creating an award/subgrant implementation pathway; a Mobile Integrated Health RFA also remains active with applications due May 20.",ROOTS awards + MIH RFA,MIH RFA due May 20; ROOTS contracts by Jun. 1,"Target ROOTS Hub Leads, mobile integrated health applicants, FQHCs, EMS, and rural hospitals for AV/telehealth/cyber needs.",https://www.ncdhhs.gov/news/press-releases/2026/05/01/ncdhhs-selects-nc-roots-hub-leads-strengthen-rural-health-care-across-north-carolina,NC ROOTS Hub Leads selected: https://www.ncdhhs.gov/news/press-releases/2026/05/01/ncdhhs-selects-nc-roots-hub-leads-strengthen-rural-health-care-across-north-carolina | NC RHTP grant opportunities: https://www.ncdhhs.gov/divisions/office-rural-health/rural-health-transformation-program/rural-health-transformation-program-grant-opportunities,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,North Dakota,Northeast,active,RFA; Grant,"North Dakota lists multiple active RHTP funding opportunities with near-term May deadlines across workforce, behavioral health, and related transformation lanes.",Multiple NOFOs active,"Deadlines May 15, May 22, May 29",Immediate follow-up on rural providers and eligible partners; prioritize deadlines by fit and purchasing authority.,https://www.hhs.nd.gov/rural-health-transformation-program/funding,North Dakota RHTP funding: https://www.hhs.nd.gov/rural-health-transformation-program/funding,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Ohio,Northeast,active,Solicitation; Grant,"Ohio’s solicitation repository identifies an active RHTP Community Health Worker Training and Technical Assistance opportunity (DOH59679), posted April 10 and due June 15, aligned to rural workforce and Healthier Ohio implementation.",CHW Training and TA solicitation,"Due Jun. 15, 2026","Training/TA, CHW workforce, community of practice, online learning/recording, dashboards, rural access workflows, and implementation support.",https://odh.ohio.gov/know-our-programs/rural-health-transformation-program/solicitation-invitations/solicitation-invitations,Narrative: https://www.documentcloud.org/documents/26303210-ohio-narrative/ | Procurement: https://odh.ohio.gov/know-our-programs/rural-health-transformation-program/solicitation-invitations/solicitation-invitations | State RHTP: https://odh.ohio.gov/know-our-programs/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Oklahoma,West,active,NOFO; Grant,"Oklahoma’s RHTP funding page now lists active opportunities, including OSDE ROOTS, chronic disease, microgrants, and Rural Regional Reorientation NOFOs.",Active funding page updated,May 25; Jun. 8; Jun. 12,"Prioritize K-12 ROOTS, chronic disease management, microgrants, and regional reorientation use cases with rural provider partners.",https://oklahoma.gov/health/rhtp/rhtp-funding.html,Oklahoma RHTP funding: https://oklahoma.gov/health/rhtp/rhtp-funding.html | Oklahoma RHTP overview: https://oklahoma.gov/health/rhtp.html,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Oregon,West,active,RFA; Grant,"Oregon Catalyst Awards RFGP remains open through OregonBuys, with bid opening May 26 and Year 1 state award of $197.3M.",Catalyst Awards RFGP open,"May 26, 2026","Ready-to-launch rural integration, telehealth, chronic disease, workforce, mobile care, ECHO/eConsult, and data/technical assistance.",https://oregonbuys.gov/bso/view/search/external/advancedSearchBid.xhtml?openBids=true,Narrative: https://www.documentcloud.org/documents/26303217-oregon-narrative/ | Procurement: https://oregonbuys.gov/bso/view/search/external/advancedSearchBid.xhtml?openBids=true | State RHTP: https://www.oregon.gov/oha/HPA/HP/Pages/rural-health-transformation.aspx | OregonBuys RFGP: https://oregonbuys.gov/bso/external/bidDetail.sdo?docId=S-44300-00016498&external=true&parentUrl=close,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Pennsylvania,Northeast,active,Grant,"Pennsylvania’s first RHTP funding opportunity opens May 1: Rapid Response Stabilization , $25M total, $10K–$1M payments, for rural hospitals/providers/facilities.",$25M Rapid Response Stabilization,May 1–Jun. 1 or until cap,"Rural hospital/provider equipment, infrastructure, telehealth, EMS, maternal health, behavioral health, workforce, and access stabilization.",https://www.emarketplace.state.pa.us/,Narrative: https://www.documentcloud.org/documents/26331567-pennsylvania-complete-120225/ | Procurement: https://www.emarketplace.state.pa.us/ | State RHTP: https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-transformation-plan | Apr. 27 funding: https://www.pa.gov/agencies/dhs/newsroom/shapiro-admin-invests--25-million-for-rural-health- | Funding opportunity: https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rhtp-funding-opportunities,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
